gender,age,age_finishing_education,marital_status,children_status,education_level,age_group
Female,63.0,16-19 years,Married,No,Middle,45-64
Male,63.0,16-19 years,Cohabiting,No,Middle,45-64
Female,81.0,Up to 15 years,Married,No,Low,65+
Male,68.0,16-19 years,Divorced or Widowed,No,Middle,65+
Male,72.0,16-19 years,Married,No,Middle,65+
Female,72.0,20 years and older,Divorced or Widowed,No,High,65+
Female,48.0,20 years and older,Cohabiting,No,High,45-64
Male,48.0,16-19 years,Married,No,Middle,45-64
Female,61.0,16-19 years,Married,No,Middle,45-64
Male,64.0,20 years and older,Married,No,High,45-64
Male,61.0,16-19 years,Married,Yes,Middle,45-64
Male,59.0,16-19 years,Married,No,Middle,45-64
Male,53.0,16-19 years,Married,Yes,Middle,45-64
Female,59.0,16-19 years,Single,No,Middle,45-64
Male,43.0,20 years and older,Married,Yes,High,26-44
Male,74.0,16-19 years,Married,No,Middle,65+
Female,53.0,16-19 years,Married,Yes,Middle,45-64
Female,45.0,20 years and older,Divorced or Widowed,Yes,High,45-64
Female,40.0,20 years and older,Married,Yes,High,26-44
Male,48.0,20 years and older,Divorced or Widowed,Yes,High,45-64
Female,32.0,20 years and older,Married,No,High,26-44
Female,43.0,16-19 years,Divorced or Widowed,Yes,Middle,26-44
Female,94.0,20 years and older,Divorced or Widowed,No,High,65+
Female,30.0,20 years and older,Married,Yes,High,26-44
Male,30.0,20 years and older,Married,Yes,High,26-44
Female,38.0,20 years and older,Divorced or Widowed,Yes,High,26-44
Female,77.0,Up to 15 years,Divorced or Widowed,No,Low,65+
Female,47.0,16-19 years,Divorced or Widowed,Yes,Middle,45-64
Female,71.0,16-19 years,Cohabiting,Yes,Middle,65+
Female,72.0,16-19 years,Divorced or Widowed,No,Middle,65+
Female,48.0,16-19 years,Cohabiting,Yes,Middle,45-64
Male,47.0,20 years and older,Single,No,High,45-64
Male,71.0,Up to 15 years,Married,No,Low,65+
Female,34.0,16-19 years,Married,Yes,Middle,26-44
Female,40.0,20 years and older,Cohabiting,Yes,High,26-44
Female,56.0,Up to 15 years,Married,No,Low,45-64
Female,79.0,16-19 years,Divorced or Widowed,No,Middle,65+
Male,59.0,16-19 years,Married,Yes,Middle,45-64
Female,20.0,Still studying,Single,No,High,19-25
Female,36.0,16-19 years,Cohabiting,Yes,Middle,26-44
Male,75.0,16-19 years,Married,No,Middle,65+
Female,45.0,20 years and older,Married,Yes,High,45-64
Male,84.0,16-19 years,Married,No,Middle,65+
Male,78.0,Up to 15 years,Married,No,Low,65+
Male,33.0,20 years and older,Cohabiting,Yes,High,26-44
Female,21.0,Still studying,Single,No,High,19-25
Female,63.0,16-19 years,Married,No,Middle,45-64
Female,54.0,20 years and older,Single,No,High,45-64
Female,67.0,16-19 years,Divorced or Widowed,No,Middle,65+
Male,84.0,20 years and older,Divorced or Widowed,No,High,65+
Male,70.0,20 years and older,Single,No,High,65+
Female,54.0,16-19 years,Married,Yes,Middle,45-64
Male,84.0,20 years and older,Divorced or Widowed,No,High,65+
Female,31.0,16-19 years,Divorced or Widowed,Yes,Middle,26-44
Male,56.0,20 years and older,Divorced or Widowed,No,High,45-64
Female,63.0,16-19 years,Divorced or Widowed,No,Middle,45-64
Male,81.0,16-19 years,Married,No,Middle,65+
Male,50.0,20 years and older,Married,Yes,High,45-64
Female,53.0,20 years and older,Married,Yes,High,45-64
Female,74.0,Up to 15 years,Married,No,Low,65+
Female,25.0,Still studying,Single,No,High,19-25
Female,39.0,20 years and older,Single,Yes,High,26-44
Female,42.0,20 years and older,Married,Yes,High,26-44
Male,83.0,Up to 15 years,Divorced or Widowed,No,Low,65+
