node_1,node_2
0,10
0,13
0,36
0,39
0,46
0,47
0,49
0,64
0,71
0,72
0,102
0,105
0,108
0,109
0,110
0,133
0,136
0,138
0,143
0,177
0,181
0,188
0,190
0,194
0,201
0,206
0,208
0,215
0,227
0,231
0,239
0,246
0,268
0,269
0,275
0,286
0,287
0,291
0,302
0,316
0,320
0,323
0,329
0,338
0,342
0,362
0,365
0,374
0,375
0,391
0,394
0,397
0,417
0,422
0,426
0,465
0,474
0,492
0,514
0,527
0,555
0,557
0,563
0,567
0,570
0,578
0,580
0,585
0,592
0,598
0,601
0,606
0,617
0,628
0,629
0,632
0,635
0,644
0,650
0,657
0,666
0,677
0,682
0,702
0,706
0,708
0,713
0,739
0,743
0,747
0,753
0,761
0,762
0,764
0,787
0,817
0,826
0,840
0,850
0,852
0,857
0,859
0,899
0,901
0,908
0,909
0,921
0,936
0,940
0,960
0,997
1,8
1,25
1,28
1,43
1,69
1,86
1,92
1,127
1,154
1,174
1,182
1,193
1,203
1,207
1,211
1,249
1,266
1,279
1,280
1,284
1,292
1,303
1,308
1,351
1,357
1,359
1,373
1,376
1,393
1,405
1,413
1,421
1,445
1,450
1,451
1,453
1,467
1,485
1,489
1,491
1,500
1,507
1,522
1,547
1,549
1,560
1,565
1,574
1,612
1,653
1,658
1,661
1,675
1,678
1,684
1,697
1,719
1,732
1,752
1,759
1,763
1,767
1,777
1,799
1,802
1,807
1,813
1,868
1,894
1,918
1,922
1,923
1,932
1,939
1,961
1,998
2,7
2,20
2,53
2,91
2,107
2,120
2,134
2,140
2,165
2,178
2,186
2,198
2,214
2,221
2,232
2,260
2,270
2,298
2,304
2,305
2,355
2,366
2,399
2,403
2,461
2,477
2,480
2,509
2,510
2,532
2,535
2,536
2,540
2,552
2,611
2,615
2,630
2,631
2,645
2,679
2,683
2,717
2,724
2,735
2,748
2,785
2,791
2,798
2,805
2,806
2,814
2,849
2,851
2,853
2,881
2,937
2,943
2,953
2,959
2,979
2,986
2,991
3,80
3,81
3,112
3,165
3,169
3,176
3,178
3,217
3,219
3,241
3,258
3,270
3,296
3,298
3,315
3,327
3,331
3,355
3,366
3,399
3,420
3,446
3,447
3,477
3,478
3,480
3,510
3,533
3,552
3,594
3,611
3,614
3,615
3,630
3,680
3,685
3,707
3,735
3,742
3,748
3,771
3,779
3,780
3,785
3,793
3,796
3,806
3,810
3,847
3,851
3,853
3,858
3,881
3,884
3,890
3,897
3,905
3,971
3,979
3,981
3,986
4,5
4,10
4,13
4,27
4,29
4,37
4,44
4,46
4,49
4,60
4,102
4,108
4,110
4,130
4,136
4,142
4,151
4,153
4,155
4,163
4,166
4,201
4,205
4,206
4,208
4,213
4,239
4,244
4,246
4,250
4,283
4,291
4,294
4,306
4,323
4,338
4,342
4,375
4,397
4,407
4,417
4,426
4,439
4,457
4,465
4,472
4,476
4,516
4,528
4,537
4,546
4,563
4,566
4,567
4,586
4,598
4,599
4,607
4,610
4,617
4,632
4,641
4,650
4,666
4,673
4,674
4,682
4,706
4,728
4,741
4,747
4,761
4,776
4,783
4,784
4,801
4,817
4,821
4,823
4,852
4,856
4,859
4,870
4,882
4,883
4,888
4,895
4,899
4,902
4,911
4,916
4,935
4,940
4,956
4,958
